country_iso3,country_name,cluster,item_code,item_short_label,origin,truth_value,short_form,n,mean,sd,se
LVA,Latvia,Baltic,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,596,5.025167785234899,1.5721432586066413,0.06439749705396906
POL,Poland,Central-East,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,600,5.661666666666666,1.6808448136879648,0.0686202021723162
POL,Poland,Central-East,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,600,5.291666666666666,1.76118336172347,0.0719000096617006
POL,Poland,Central-East,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,600,3.946666666666667,1.8823019568204153,0.07684465560087186
POL,Poland,Central-East,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,600,4.976666666666667,1.7439010504264172,0.07119446225747197
POL,Poland,Central-East,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,600,5.5683333333333325,1.6461612822465161,0.06720425293049409
POL,Poland,Central-East,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,600,4.616666666666666,1.8143525974302501,0.07407063461995692
POL,Poland,Central-East,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,600,4.760000000000002,1.6574010670812118,0.06766311522488871
POL,Poland,Central-East,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,600,4.721666666666666,1.6629711394288202,0.06789051247625583
SRB,Serbia,Southern,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,606,5.389438943894389,1.8336128854317544,0.07448543186711945
SRB,Serbia,Southern,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,606,4.856435643564357,1.8818444886128307,0.07644470681611724
SRB,Serbia,Southern,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,606,4.777227722772277,1.9064595469757473,0.07744462521065039
SRB,Serbia,Southern,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,606,5.059405940594059,1.7748758010970913,0.07209940091803359
SRB,Serbia,Southern,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,606,5.382838283828383,1.8636059944983743,0.07570381863763931
SRB,Serbia,Southern,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,606,4.465346534653465,1.8312134247509022,0.07438796043981796
SRB,Serbia,Southern,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,606,4.204620462046204,1.703000299765707,0.06917965826140775
SRB,Serbia,Southern,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,606,4.919141914191419,1.7349294190018252,0.07047669006912163
TUR,Turkey,Southern,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,599,5.0350584307178625,1.9242614762608627,0.07862319245843845
TUR,Turkey,Southern,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,599,4.400667779632721,1.989873919506464,0.08130404421201165
TUR,Turkey,Southern,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,599,4.806343906510851,1.8941627871276543,0.07739339336010316
TUR,Turkey,Southern,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,599,4.858096828046746,1.8218931636182036,0.07444053659495939
TUR,Turkey,Southern,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,599,4.944908180300501,1.8887016518450228,0.07717025742163275
TUR,Turkey,Southern,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,599,4.500834724540901,1.9473631870653554,0.07956710277265948
TUR,Turkey,Southern,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,599,4.303839732888147,1.8608360981840755,0.07603170176509962
TUR,Turkey,Southern,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,599,4.328881469115192,1.8095853802649706,0.07393765420020379
