country_iso3,country_name,cluster,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
HUN,Hungary,Central-East,overall,Overall DisInforMeter composite,599,4.032380963351656,0.8748000842165613,0.035509277621255865,3.9682529687464148,4.102663608992048,1,7
AUT,Austria,Western,overall,Overall DisInforMeter composite,599,4.011937367508862,1.1041701772832353,0.045334537739393825,3.923084255495871,4.099995202637239,1,7
FRA,France,Western,overall,Overall DisInforMeter composite,596,4.0045153885273415,1.0306473050265728,0.0423354378397589,3.923848169587486,4.083303035494427,1,7
BEL,Belgium,Western,overall,Overall DisInforMeter composite,595,3.9431587352097655,1.102820671139919,0.04426232761768056,3.853379347225988,4.029046186913741,1,7
DEU,Germany,Western,overall,Overall DisInforMeter composite,598,3.9406390381248864,1.1403313218485225,0.04539833874724571,3.850319106470482,4.025816233034582,1,7
LVA,Latvia,Baltic,overall,Overall DisInforMeter composite,596,3.790729314386977,1.0665867022799482,0.04345234629585672,3.7039161291949925,3.877039142692163,1,7
LTU,Lithuania,Baltic,overall,Overall DisInforMeter composite,593,3.656686602191861,1.1162711622050399,0.0463933967147473,3.5725295423719845,3.7474790712558605,1,7
EST,Estonia,Baltic,overall,Overall DisInforMeter composite,604,3.221148784287986,1.1877989569408827,0.0485887331499443,3.126160026540399,3.3139261457754072,1,7
BGR,Bulgaria,Central-East,supf,Foreign-power admiration (Russia),592,4.003941441441441,2.021454638372358,0.08421929936490681,3.8414085960960964,4.171541854354355,1,7
SRB,Serbia,Southern,supf,Foreign-power admiration (Russia),606,3.9394939493949397,1.893977357355294,0.07684425812120306,3.7966813348001462,4.083608360836084,1,7
TUR,Turkey,Southern,supf,Foreign-power admiration (Russia),599,3.3082915971062885,1.879282270350942,0.07623395830555017,3.1580411797440178,3.462423483583751,1,7
HUN,Hungary,Central-East,supf,Foreign-power admiration (Russia),599,2.907623817473567,1.680986236431478,0.06724255245205706,2.7751808569838623,3.0426451493229454,1,7
ITA,Italy,Southern,supf,Foreign-power admiration (Russia),606,2.692519251925192,1.8213787442297054,0.07301338558442402,2.5535432709937664,2.83993399339934,1,7
DEU,Germany,Western,supf,Foreign-power admiration (Russia),598,2.677257525083612,1.7690178680789022,0.07059354359437454,2.541072092159049,2.809174098848012,1,7
AUT,Austria,Western,supf,Foreign-power admiration (Russia),599,2.666666666666667,1.8640130844209806,0.07774040969738352,2.5134576145427565,2.8144871081432012,1,7
FRA,France,Western,supf,Foreign-power admiration (Russia),596,2.664429530201343,1.7834163521272857,0.07132017271350119,2.529642058165548,2.80405947054437,1,7
BEL,Belgium,Western,supf,Foreign-power admiration (Russia),595,2.5949579831932774,1.827097028445795,0.07109157239304115,2.4509803921568625,2.7278944911297853,1,7
POL,Poland,Central-East,supf,Foreign-power admiration (Russia),600,2.3305555555555553,1.7172058212574355,0.0701329067167675,2.204634259259259,2.4699861111111105,1,7
LVA,Latvia,Baltic,supf,Foreign-power admiration (Russia),596,1.8909395973154361,1.3559151914590422,0.05601586500630147,1.7865445563012676,2.002046047725578,1,7
LTU,Lithuania,Baltic,supf,Foreign-power admiration (Russia),593,1.6155143338954467,1.3040877212638093,0.05422925144546783,1.5132237211916808,1.7253044781712572,1,7
EST,Estonia,Baltic,supf,Foreign-power admiration (Russia),604,1.5927152317880793,1.2083695233465666,0.04984195514849844,1.4961506622516554,1.691864422369389,1,7
BGR,Bulgaria,Central-East,supfch,Foreign-power admiration (China),592,4.060247747747748,1.7732772527895753,0.07268152144562523,3.9228744369369366,4.204762575075075,1,7
SRB,Serbia,Southern,supfch,Foreign-power admiration (China),606,3.8173817381738173,1.8066356726942556,0.07165641150901352,3.6813439677301067,3.9580078841217454,1,7
TUR,Turkey,Southern,supfch,Foreign-power admiration (China),599,3.616026711185309,1.9713280779619786,0.08091443109872254,3.4652198107957703,3.773511407902059,1,7
HUN,Hungary,Central-East,supfch,Foreign-power admiration (China),599,3.1953255425709517,1.627712109662567,0.06347216357399481,3.069003895381191,3.3153357447597847,1,7
POL,Poland,Central-East,supfch,Foreign-power admiration (China),600,3.030555555555556,1.6847630987230848,0.0688752339155447,2.8985231481481484,3.167574074074074,1,7
ITA,Italy,Southern,supfch,Foreign-power admiration (China),606,3.0209020902090207,1.7075222309760825,0.06675929458891977,2.890176934360103,3.15272735606894,1,7
AUT,Austria,Western,supfch,Foreign-power admiration (China),599,2.929883138564274,1.7519695253722345,0.0723206187432142,2.7926219625301427,3.071025783713596,1,7
BEL,Belgium,Western,supfch,Foreign-power admiration (China),595,2.922128851540616,1.7987258933301682,0.07184863340243655,2.771442577030812,3.0498459383753502,1,7
DEU,Germany,Western,supfch,Foreign-power admiration (China),598,2.9219620958751396,1.7339959262854063,0.07065684482481568,2.783913972500929,3.0661417688591603,1,7
FRA,France,Western,supfch,Foreign-power admiration (China),596,2.904921700223714,1.7261383781941984,0.0681168584100199,2.766792505592842,3.0406366517524237,1,7
LVA,Latvia,Baltic,supfch,Foreign-power admiration (China),596,2.6879194630872485,1.4816384539293308,0.05967979413871811,2.567878448918717,2.8062966070096946,1,7
LTU,Lithuania,Baltic,supfch,Foreign-power admiration (China),593,2.1596402473299605,1.519887340567404,0.06217446393816029,2.0468474798575977,2.289488476672288,1,7
EST,Estonia,Baltic,supfch,Foreign-power admiration (China),604,2.1572847682119205,1.3551641173662345,0.054358598174367063,2.05794701986755,2.265815857247976,1,7
SRB,Serbia,Southern,threat,Ideological threat,606,5.20874587458746,1.607494661181415,0.06507494835410192,5.073473597359735,5.332769526952696,1,7
